Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Bambaroo Coastal Aggregation,QLD,448,53.6,6,0.11194,-18.8672,146.2542,1.00E+31,1.70308,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Bromfield Swamp,QLD,449,0.63,25,39.68254,-17.3789,145.5408,0.0017,26.0963,1.42146,3.90128,17.1593,0.150982,0.991673,0.075329,173.2855,0.35574
Cowley Area,QLD,450,83.44,108,1.294343,-17.6553,146.1028,0.005513,7.89131,0.765169,6.2607,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Edmund Kennedy Wetlands,QLD,451,110.83,818,7.380673,-18.0758,146.0064,0.001459,2.12125,1.50608,102.252,18.0943,0.055871,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Ella Bay Swamp,QLD,452,13.15,4,0.304183,-17.4208,146.0528,0.008403,31.1091,0.683155,22.9872,12.3578,0.105788,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Eubenangee—Alice River,QLD,453,19.91,131,6.579608,-17.4297,145.9769,0.004282,17.7041,1.20691,4.47214,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Herbert River Floodplain,QLD,454,444.96,317,0.712424,-18.7542,146.2411,0.002079,2.8561,0.902145,4.88247,1.00E+31,1.00E+31,1.250123,0.099357,119.8725,0.501977
Hilda Creek Headwater,QLD,455,0.05,3,60,-16.1639,145.3678,0.002505,239.915,1.28579,2.58064,139.068,0.027628,0.718828,0.067672,90.3136,0.232461
Innisfail Area,QLD,456,12.2,270,22.13115,-17.5706,146.0639,0.00382,7.18927,1.21068,167.227,18.5632,0.079266,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Kurrimine Area,QLD,457,7.54,47,6.233422,-17.7878,146.0853,1.00E+31,2.68809,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Barrine,QLD,458,0.99,109,110.101,-17.2508,145.6356,0.002204,25.1952,1.28764,32.5725,14.3331,0.002104,0.940799,0.088306,112.3187,0.359095
Lake Eacham,QLD,459,0.43,65,151.1628,-17.2858,145.6247,0.002204,25.1952,1.28764,32.5725,14.3331,0.002104,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Licuala Palm Forest,QLD,460,2.32,69,29.74138,-17.9142,146.0708,0.005465,37.1297,0.956381,5.69965,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lower Daintree River,QLD,461,52.76,298,5.648218,-16.2869,145.42,0.001698,13.8867,1.67138,73.7863,117.568,0.058389,0.863689,0.072275,140.2312,0.27
Missionary Bay,QLD,462,11.29,139,12.31178,-18.2719,146.235,0.001496,57.9432,1.44334,1.61018,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Nandroya Falls,QLD,463,0.19,1,5.263158,-17.5958,145.7625,0.002426,113.045,1.05026,22.8882,8.7497,0.008311,0.795686,0.09607,97.19166,0.244662
Russell River,QLD,464,23.77,109,4.585612,-17.2322,145.9486,0.004468,27.5481,0.875641,62.1156,5.26309,0.20654,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Russell River Rapids,QLD,465,2.35,26,11.06383,-17.4572,145.8228,0.004323,132.229,0.882658,5.21903,3.92778,0.008133,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Sunday Creek Broad-leaved Paperbark Site,QLD,466,0.39,12,30.76923,-18.5,146.1833,0.001413,23.8849,1.29984,1.41777,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Tully River - Murray River Floodplains,QLD,467,391.54,474,1.210604,-18.0192,145.8714,0.000905,3.07349,1.36042,5.34449,24.5043,0.12116,1.00E+31,1.00E+31,1.00E+31,1.00E+31
West Mulgrave Falls,QLD,468,0.07,8,114.2857,-17.3611,145.7856,0.004737,224.49,0.849028,5.36097,3.97212,0.004726,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Wyvuri Swamp,QLD,469,14.92,199,13.3378,-17.345,145.9986,0.004966,10.9656,1.03563,8.69459,9.10848,0.650973,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Yuccabine Creek,QLD,470,5.29,3,0.567108,-18.1928,145.7761,0.001225,206.517,1.0953,1.82845,17.5549,0.00161,0.884826,0.075525,129.9737,0.267005
Zillie Falls,QLD,471,0.16,29,181.25,-17.4767,145.6547,0.003259,37.6659,0.882633,18.9615,10.8266,0.092861,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Wyandra-Cunnamulla Claypans Aggregation,QLD,472,300,10,0.033333,-27.5,146.5,4.29E-06,9.15516,0.426281,0.003125,1.00E+31,1.00E+31,1.34511,0.283705,727.3041,0.437109
Quilpie (Bulloo River Floodplain) Waterholes,QLD,473,0.3,3,10,-26.5,144.3,5.66E-13,4.61995,0.374127,16.6356,1.00E+31,1.00E+31,1.376241,0.256962,838.1581,0.451505
Lake Dartmouth Area,QLD,474,100,20,0.2,-26.05,145.3333,1.20E-05,9.61693,0.429117,0.638998,1.00E+31,1.00E+31,1.303534,0.166256,719.4087,0.378388
Warrego River Distributary System,QLD,475,120,42,0.35,-28.5667,145.7167,-1.93E-11,4.16643,0.424743,47.4199,1.00E+31,1.00E+31,1.364106,0.206289,803.9287,0.408944
Warrego River Waterholes (Charleville-Wyandra,QLD,476,5,4,0.8,-27,145.95,2.45E-05,4.86816,0.434011,41.8888,22.6874,0.051763,1.366723,0.217107,792.7201,0.399811
"""Myola""-""Mulga Downs"" Salt Lake and Claypans",QLD,477,80,11,0.1375,-28.7667,146.95,9.30E-07,8.95251,0.319321,0.164828,1.00E+31,1.00E+31,1.36777,0.232467,729.8818,0.439339
“Murrawondah” Lakes,QLD,478,25,11,0.44,-28.0833,146.0667,4.07E-06,8.53122,0.323758,0.10667,1.00E+31,1.00E+31,1.337575,0.197409,777.0183,0.404816
"Paroo River Waterholes (""Caiwarro"" Area)",QLD,479,0.25,144,576,-28.7,144.7667,1.09E-06,5.30537,0.227327,0.161921,1.00E+31,1.00E+31,1.433591,0.333973,903.0332,0.513594
Eulo Artesian Springs Supergroup,QLD,480,0.3,9,30,-28.2333,144.8,8.18E-06,11.3759,0.245892,0.233623,1.00E+31,1.00E+31,1.44273,0.318423,885.3122,0.504481
Greenbank Army Training Area,QLD,481,46.65,273,5.85209,-27.6709,152.9742,7.81E-06,23.6045,0.805248,0.051233,1.00E+31,1.00E+31,1.428624,0.135171,351.4885,0.553187
RAAF Townsville,QLD,482,3,442,147.3333,-192.467,146.7573,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
